solver,seed,decision,ego_x,ego_z,ego_angle,ego_speed,action_kind,action_id,v_cmd,omega_cmd,wheel_left,wheel_right,d,phi,v,kappa,tile,d_stop,sigma_stop,stop_hold_progress,duck_present,duck_longitudinal,duck_lateral,duck_active,duck_class,duck_active_state,crossings_started,reward_total,reward_progress,reward_lateral,reward_heading,reward_time,reward_pedestrian,reward_stagnation,reward_stop_approach,reward_steering,reward_events,full_stop,passed_stop,stop_violation,offroad,other_collision,duck_collision,timeout,goal,terminated,truncated,reason,planning_time,model_calls
q_learning,1001,1,1.24701141979442,1.3042547698314482,3.490913088521881,0.0,macro,1,0.41,0.0,0.4099999964237213,0.4099999964237213,0.028419356055539104,0.01387368038878307,0.07516666601101704,0.0,STRAIGHT,,false,0.0,true,0.124304877643661,0.5051964021682841,false,SIDE_NEAR,false,0,0.06344787302342447,0.07515943212441253,-0.0016153195972230144,-9.623950376505197e-5,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,3.4034e-5,0
q_learning,1001,2,1.2433730584619598,1.3055800741327896,-2.792272218657706,0.07516666601101704,macro,1,0.41,0.0,0.4099999964237213,0.4099999964237213,0.02587668241918103,-0.16885730302655366,0.1887882606703751,0.0,STRAIGHT,,false,0.0,true,0.1842048386348271,0.47928317135203224,false,SIDE_NEAR,false,0,0.16050760995399896,0.18610320973274597,-0.0013392053860463054,-0.014256394392700685,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,4.5443e-5,0
q_learning,1001,3,1.2149377136185473,1.3159378922238307,-2.792272218657706,0.1887882606703751,macro,5,0.17,-1.5,0.24650000035762787,0.09350000321865082,0.01633720665549524,-0.30928888921258274,0.1661729289896811,0.0,STRAIGHT,,false,0.0,true,0.21912709695820504,0.4574095241535509,false,SIDE_NEAR,false,0,0.09992444950439061,0.15828806664217596,-0.000533808642608716,-0.04782980849517664,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.2841e-5,0
q_learning,1001,4,1.1786652113964176,1.3290475927654986,-2.8062575517295203,0.1661729289896811,macro,5,0.17,-1.5,0.24650000035762787,0.09350000321865082,0.00816546316984823,-0.2672166609457334,0.12349050118209995,0.0,STRAIGHT,,false,0.0,true,0.20473488963007425,0.45983453683015174,false,SIDE_NEAR,false,0,0.07327204821371464,0.11910776973476445,-0.0001333495775562958,-0.035702371943493516,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.1554e-5,0
q_learning,1001,5,1.1524348896300742,1.3373345368301517,-2.87437599264406,0.12349050118209995,macro,5,0.17,-1.5,0.24650000035762787,0.09350000321865082,0.0031524126501387695,-0.1722269149407648,0.10919615872946645,0.0,STRAIGHT,,false,0.0,true,0.18251976564884376,0.4648475873498612,false,SIDE_NEAR,false,0,0.08272973313375372,0.10758066365979395,-1.987541103350988e-5,-0.014831055115006719,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.3217e-5,0
q_learning,1001,6,1.1302197656488437,1.3423475873498611,-2.9693657386490284,0.10919615872946645,macro,5,0.17,-1.5,0.24650000035762787,0.09350000321865082,0.0006167759510375959,-0.06585037872435241,0.10440897686606965,0.0,STRAIGHT,,false,0.0,true,0.16148421758567677,0.4673832240489624,false,SIDE_NEAR,false,0,0.09201378876002782,0.10418268577424568,-7.608251475566617e-7,-0.0021681361890703225,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.5421e-5,0
q_learning,1001,7,1.1091842175856768,1.3448832240489623,-3.075742274865441,0.10440897686606965,macro,1,0.41,0.0,0.4099999964237213,0.4099999964237213,0.00040696626943104164,0.03136600841793688,0.1634729201751593,0.0,STRAIGHT,,false,0.0,true,0.136539327873213,0.46759303373056915,false,SIDE_NEAR,false,0,0.15290026778849428,0.16339251227362023,-3.3124308890923833e-7,-0.0004919132420370436,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.5618e-5,0
q_learning,1001,8,1.084239327873213,1.345093033730569,3.1102266451718554,0.1634729201751593,macro,1,0.41,0.0,0.4099999964237213,0.4099999964237213,0.002725621515170973,0.07649397284643288,0.21836194048800806,0.0,STRAIGHT,,false,0.0,true,0.09655783242796745,0.4652743784848292,false,SIDE_NEAR,false,0,0.2047828763175489,0.21772339828375223,-1.4858025287925819e-5,-0.002925663940915405,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.4863e-5,0
q_learning,1001,9,1.0442578324279674,1.3427743784848292,3.0650986807433602,0.21836194048800806,macro,1,0.41,0.0,0.4099999964237213,0.4099999964237213,0.006756417704232742,0.09561707319036797,0.23674410161614698,0.0,STRAIGHT,,false,0.0,true,0.050598606223531295,0.46124358229576723,false,SIDE_NEAR,false,0,0.22100008396414883,0.23566269466728307,-9.129836038813927e-5,-0.004571312342746092,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.2028e-5,0
q_learning,1001,10,0.9982986062235313,1.3387435822957672,3.045975580399425,0.23674410161614698,macro,3,0.17,1.5,0.09350000321865082,0.24650000035762787,0.011032357695484052,0.08973520703525148,0.18223331528974412,0.0,STRAIGHT,,false,0.0,true,0.0069224556074913846,0.4569676423045159,false,SIDE_NEAR,false,0,0.16723046953080378,0.18150009905427575,-0.00024342583264221236,-0.004026203690829723,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.3187e-5,0
q_learning,1001,11,0.9546224556074914,1.3344676423045159,3.051857446554542,0.18223331528974412,macro,3,0.17,1.5,0.09350000321865082,0.24650000035762787,0.012862730337416028,0.02505063274740938,0.12886908704238004,0.0,STRAIGHT,,false,0.0,true,-0.022309044997366856,0.45513726966258394,false,NONE,false,0,0.11818398751308105,0.12882865427707,-0.0003308996634661653,-0.00031376710052278964,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.1499e-5,0
q_learning,1001,12,0.9253909550026331,1.332637269662584,3.1165420208423846,0.12886908704238004,macro,1,0.41,0.0,0.4099999964237213,0.4099999964237213,0.012321741755286553,-0.06117400286796249,0.15499780390622597,0.0,STRAIGHT,,false,0.0,true,-0.04793969758311423,0.4556782582447134,false,NONE,false,0,0.14253309345176862,0.15470787340498132,-0.0003036506397679443,-0.0018711293134447415,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.6435e-5,0
q_learning,1001,13,0.8997603024168858,1.3331782582447134,-3.0804186507218314,0.15499780390622597,macro,1,0.41,0.0,0.4099999964237213,0.4099999964237213,0.008897509153418248,-0.10598957672337936,0.21552362601081326,-5.145315985679836,CURVE_RIGHT,,false,0.0,true,-0.08689883389902686,0.4591024908465817,false,NONE,false,0,0.19853895872115676,0.21431418524642765,-0.00015833133827032302,-0.005616895187000559,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.2523e-5,0
q_learning,1001,14,0.8608011661009731,1.3366024908465817,-3.035603076866414,0.21552362601081326,macro,5,0.17,-1.5,0.24650000035762787,0.09350000321865082,0.0038711290537842835,-0.11767030083048546,0.19179354637917748,-5.145315985679836,CURVE_RIGHT,,false,0.0,true,-0.13016245343191835,0.4641288709462157,false,NONE,false,0,0.17351414119243844,0.190467262321509,-2.9971280302105604e-5,-0.006923149848768474,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.6146e-5,0
q_learning,1001,15,0.8175375465680816,1.3416288709462156,-3.0239223527593073,0.19179354637917748,macro,5,0.17,-1.5,0.24650000035762787,0.09350000321865082,0.0009326063315824307,-0.06477331765949998,0.13207088662802877,-5.145315985679836,CURVE_RIGHT,,false,0.0,true,-0.16036990265597784,0.46706739366841754,false,NONE,false,0,0.11969439547077791,0.13179392632022657,-1.7395091394152772e-6,-0.002097791340309246,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.3603e-5,0
q_learning,1001,16,0.7873300973440222,1.3445673936684175,-3.076819335930293,0.13207088662802877,macro,5,0.17,-1.5,0.24650000035762787,0.09350000321865082,0.00037786092956482165,0.02376629332392854,0.11206973144122441,-5.145315985679836,CURVE_RIGHT,,false,0.0,true,-0.18408906215706933,0.46762213907043515,false,NONE,false,0,0.10175537847548866,0.11203808238243235,-2.855577641831822e-7,-0.0002824183491795052,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.9456e-5,0
q_learning,1001,17,0.7636109378429307,1.345122139070435,3.1178263602658625,0.11206973144122441,macro,5,0.17,-1.5,0.24650000035762787,0.09350000321865082,0.0019755772621414813,0.12740956689907665,0.1053713399647316,-5.145315985679836,CURVE_RIGHT,,false,0.0,true,-0.20553633867513932,0.4660244227378585,false,NONE,false,0,0.08639283472324143,0.10451723940298394,-7.805811037380862e-6,-0.008116598868705143,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.2937e-5,0
q_learning,1001,18,0.7421636613248607,1.3435244227378584,3.0141830866907164,0.1053713399647316,macro,3,0.17,1.5,0.09350000321865082,0.24650000035762787,0.005690738325702993,0.22283305974618575,0.1031291714152501,-5.145315985679836,CURVE_RIGHT,,false,0.0,true,-0.2259663993504034,0.462309261674297,false,NONE,false,0,0.06568727587423755,0.1005793311375444,-6.476900538324981e-5,-0.024827286257923596,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.5002e-5,0
q_learning,1001,19,0.7217336006495966,1.339809261674297,2.9187595938436073,0.1031291714152501,macro,3,0.17,1.5,0.09350000321865082,0.24650000035762787,0.01028054167720005,0.21369995244470116,0.10237805670929091,-5.145315985679836,CURVE_RIGHT,,false,0.0,true,-0.24597163703037306,0.4577194583227999,false,NONE,false,0,0.06700404200844769,0.10004925592023475,-0.00021137907435329445,-0.02283383483743377,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,3.2712e-5,0
q_learning,1001,20,0.7017283629696269,1.3352194583227999,2.927892701145092,0.10237805670929091,macro,3,0.17,1.5,0.09350000321865082,0.24650000035762787,0.01397547931239096,0.14370540548732597,0.1021258433139977,-5.145315985679836,CURVE_RIGHT,,false,0.0,true,-0.2660725408684531,0.454024520687609,false,NONE,false,0,0.08035689415583717,0.1010731439829977,-0.00039062804402213534,-0.010325621783138388,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,5.8768e-5,0
q_learning,1001,21,0.6816274591315469,1.331524520687609,2.9978872481024674,0.1021258433139977,macro,3,0.17,1.5,0.09350000321865082,0.24650000035762787,0.015954253547624475,0.047920654332727346,0.10204120138654495,-5.145315985679836,CURVE_RIGHT,,false,0.0,true,-0.2863825782737558,0.4520457464523755,false,NONE,false,0,0.09026678968557893,0.10192406065394106,-0.0005090764125237763,-0.00114819455583837,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.7465e-5,0
q_learning,1001,22,0.6613174217262442,1.3295457464523754,3.093671999257067,0.10204120138654495,macro,5,0.17,-1.5,0.24650000035762787,0.09350000321865082,0.015896851335324147,-0.04417276779866738,0.10201388806975394,-5.145315985679836,CURVE_RIGHT,,false,0.0,true,-0.306779163176228,0.4521031486646758,false,NONE,false,0,0.09043334132612998,0.10191437779838226,-0.0005054197647547942,-0.0009756167074974928,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.4009e-5,0
q_learning,1001,23,0.640920836823772,1.3296031486646758,-3.097419885791126,0.10201388806975394,macro,5,0.17,-1.5,0.24650000035762787,0.09350000321865082,0.01495750484567826,-0.033628533776633676,0.10200453071803504,-5.145315985679836,CURVE_RIGHT,,false,0.0,true,-0.32715887625742135,0.4530424951543217,false,NONE,false,0,0.09093396575460812,0.10194685879900818,-0.00044745390241697724,-0.000565439141983096,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,3.7385e-5,0
q_learning,1001,24,0.6205411237425786,1.3305424951543217,-3.10796411981316,0.10200453071803504,macro,5,0.17,-1.5,0.24650000035762787,0.09350000321865082,0.014929637591717837,0.03696398205030588,0.10200074616976135,-5.145315985679836,CURVE_RIGHT,,false,0.0,true,-0.3475550740057993,0.45307036240828213,false,NONE,false,0,0.09080211431774564,0.10193107045949337,-0.00044578815724006875,-0.0006831679845076675,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.8509e-5,0
q_learning,1001,25,0.6001449259942007,1.330570362408282,3.1046286715394866,0.10200074616976135,macro,5,0.17,-1.5,0.24650000035762787,0.09350000321865082,0.016594355649340222,0.11511138909709,0.10199930533777572,-5.145315985679836,CURVE_RIGHT,,false,0.0,true,-0.35974228754905124,0.4578745607322453,false,NONE,false,0,0.08414821236167513,0.10132427359043952,-0.0005507452788335794,-0.006625315949930825,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.9423e-5,0
q_learning,1001,26,0.5798240083098104,1.3288655741798774,3.008590529414564,0.10199930533777572,macro,3,0.17,1.5,0.09350000321865082,0.24650000035762787,0.019315959550983225,0.1383729657180093,0.10199985753170447,-5.145315985679836,CURVE_RIGHT,,false,0.0,true,-0.34764345558183124,0.4795933359709752,false,NONE,false,0,0.08070516362706694,0.10102491503461605,-0.0007462125867504401,-0.009573538820798689,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.5957e-5,0
q_learning,1001,27,0.5597754796717035,1.3251385893158747,2.916389732155285,0.10199985753170447,macro,3,0.17,1.5,0.09350000321865082,0.24650000035762787,0.021312147219905205,0.039507467586944615,0.10199983253673861,-5.145315985679836,CURVE_RIGHT,,false,0.0,true,-0.324334349121544,0.5073435611730622,false,NONE,false,0,0.09023140494525157,0.10192024018106413,-0.0009084152382458264,-0.0007804199975667397,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.5286e-5,0
q_learning,1001,28,0.5398995524944943,1.320545205479271,2.9268884656684655,0.10199983253673861,macro,5,0.17,-1.5,0.24650000035762787,0.09350000321865082,0.02051413743812559,-0.16612948184209717,0.10199993090925571,-5.145315985679836,CURVE_RIGHT,,false,0.0,true,-0.265246149424714,0.5528905797264567,false,NONE,false,0,0.07595445485049053,0.10059561688871298,-0.0008416596696606118,-0.013799502368561846,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.6062e-5,0
q_learning,1001,29,0.5198489964491826,1.3168028928830922,2.982841700801713,0.10199993090925571,macro,5,0.17,-1.5,0.24650000035762787,0.09350000321865082,0.016593915666859027,-0.23859754990367424,0.10199965828087601,-5.145315985679836,CURVE_RIGHT,,false,0.0,true,-0.22941459813394827,0.5814564215219888,false,NONE,false,0,0.060094935805276146,0.09911004728961197,-0.0005507160743176589,-0.02846439541001816,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.2375e-5,0
q_learning,1001,30,0.49972866509577335,1.3134407196744105,2.9569829621002315,0.10199965828087601,macro,5,0.17,-1.5,0.24650000035762787,0.09350000321865082,0.010982672260575492,-0.3195592469796153,0.10199906439767119,0.0,STRAIGHT,,false,0.0,true,-0.1541244873985074,0.6175142906669655,false,NONE,false,0,0.035534962566411823,0.09683525691146765,-0.0002412381799664288,-0.051059056165089385,-0.01,0.0,0.0,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,in_progress,2.255e-5,0
