solver,family,seed,decisions,return,discounted_return,progress,mean_abs_d,max_abs_d,mean_abs_phi,mean_speed,brake_ratio,offroad,other_collision,duck_collision,timeout,goal,full_stops,stop_violations,passed_stops,stop_zone_decisions,duck_yield_decisions,duck_active_decisions,crossings,reason
mcts@1k,,1006,150,3.851246806792574,2.3892564415263737,15.647204543855896,0.04647602718055622,0.14723529418981268,0.3021356348393694,0.11116301567111123,0.24,false,false,false,false,false,0,0,0,0,1,7,1,in_progress
mcts@1k,,1007,150,13.8933627664289,4.619822193723439,16.49942378525846,0.12723171649838358,0.25,0.27400124506285684,0.11779679411172528,0.25333333333333335,false,false,false,false,false,1,0,1,14,0,1,1,in_progress
mcts@1k,,1008,150,11.292293496731313,5.574615970608148,18.093342766930597,0.05246360747916544,0.115500067975212,0.18369273146661919,0.12475318602431804,0.18666666666666668,false,false,false,false,false,0,0,0,0,0,7,1,in_progress
mcts@1k,,1009,150,7.622990141121811,4.307758320883639,15.213198338598865,0.054844525502315944,0.1340515759453922,0.18303212646549896,0.10577726312403518,0.26,false,false,false,false,false,0,0,0,0,0,7,1,in_progress
mcts@1k,,1010,150,7.433513974653086,4.328171960195855,17.02349108431887,0.06562218597875344,0.1718864803279101,0.22160266707137222,0.11905721547735558,0.21333333333333335,false,false,false,false,false,0,0,0,0,0,7,1,in_progress
mcts@1k,,1011,150,8.807394806353926,8.293648030490674,14.915307982905304,0.13264475041664728,0.25,0.32173106722266887,0.10676509857845767,0.30666666666666664,false,false,false,false,false,1,0,1,28,0,7,1,in_progress
mcts@1k,,1012,150,9.135796381366458,4.954459240580881,17.131078159013246,0.047877073289606616,0.11190554833924149,0.22622684158337833,0.11921925392425559,0.26,false,false,false,false,false,0,0,0,0,0,7,1,in_progress
mcts@1k,,1013,150,7.818671447821036,2.892428297819111,15.831794826411576,0.15272571187792802,0.25,0.34422505712030144,0.11378698044082329,0.23333333333333334,false,false,false,false,false,1,0,0,16,0,7,1,in_progress
mcts@1k,,1014,150,-2.946835860477268,-3.0670944828660254,16.092477332885867,0.16571848683791887,0.25,0.24229661425602372,0.11510413978417053,0.22666666666666666,false,false,false,false,false,0,0,0,6,0,7,1,in_progress
mcts@1k,,1015,150,-1.6911768272227963,-0.1942040115657968,13.979231305664866,0.10751958669177876,0.24915177846702985,0.28640087278298854,0.09898233135770508,0.2866666666666667,false,false,false,false,false,0,0,0,0,1,7,1,in_progress
mcts@1k,,1016,150,5.734761898166378,3.0997197139803934,15.032857640352601,0.12979459488707673,0.25,0.37649203580876195,0.1116352380058621,0.2866666666666667,false,false,false,false,false,1,0,1,23,2,7,1,in_progress
mcts@1k,,1017,150,1.3230397055320329,0.8545501509544455,15.49746230763079,0.11586927483732556,0.25,0.24630359606149754,0.1089782850862063,0.23333333333333334,false,false,false,false,false,0,0,0,0,0,7,1,in_progress
mcts@1k,,1018,150,7.745407621225368,3.9051799894057617,14.141659134987359,0.05966364950834296,0.12176472807894267,0.18062435707283686,0.09654807378267077,0.32,false,false,false,false,false,0,0,0,0,0,7,1,in_progress
mcts@1k,,1019,150,9.16940386705105,4.257839685719431,17.29570682514567,0.0442992905136861,0.09130849807168491,0.22633650604486855,0.12073119876868103,0.24666666666666667,false,false,false,false,false,0,0,0,0,0,7,1,in_progress
