solver,family,seed,decisions,return,discounted_return,progress,mean_abs_d,max_abs_d,mean_abs_phi,mean_speed,brake_ratio,offroad,other_collision,duck_collision,timeout,goal,full_stops,stop_violations,passed_stops,stop_zone_decisions,duck_yield_decisions,duck_active_decisions,crossings,reason
mcts@1000,discrete online planning,1003,60,15.954717545457434,11.253830252532362,6.99661287478802,0.05845394038580628,0.12883315427697029,0.3606926543742119,0.12535454741845578,0.26666666666666666,false,false,false,false,false,1,0,1,18,0,0,0,in_progress
mcts@1000,discrete online planning,1004,60,3.2350984211296914,2.492415822157559,5.446763729033779,0.029981471781869305,0.054301464912662745,0.1834167416225795,0.09271528299753586,0.26666666666666666,false,false,false,false,false,0,0,0,0,0,7,1,in_progress
mcts@1000,discrete online planning,1005,60,3.1345962493992023,2.351501317881032,6.52494565184339,0.03692134165445629,0.09161281325385791,0.24515966365119687,0.11339172872741307,0.23333333333333334,false,false,false,false,false,0,0,0,0,0,0,0,in_progress
dpw@1000,continuous online planning,1001,60,-45.80897912679498,-28.68594012260419,5.460475616233336,0.033699277693761236,0.0778480579522316,0.13505349257283122,0.09215462940895924,0.0,false,false,false,false,false,0,1,1,28,0,0,0,in_progress
dpw@1000,continuous online planning,1002,60,-10.950900838745351,-8.428779647090114,5.886813633352958,0.15463379236752078,0.25,0.4439249217503255,0.11245696870909423,0.0,false,false,false,false,false,0,0,0,0,0,0,0,in_progress
dpw@1000,continuous online planning,1003,60,-43.34404208350974,-27.38745089791229,5.986877254915428,0.056795136724181745,0.08445182333154495,0.15397315458943409,0.10204714520315493,0.0,false,false,false,false,false,0,1,1,24,0,0,0,in_progress
dpw@1000,continuous online planning,1004,60,-9.250195519684329,-6.497810962921109,5.245070751996107,0.09022530434111196,0.14205606423465506,0.3238720923773845,0.09477555534915366,0.0,false,false,false,false,false,0,0,0,23,0,0,0,in_progress
dpw@1000,continuous online planning,1005,60,-41.39289986467215,-23.206816160459965,6.068070831615923,0.04469217489709442,0.07762307694556524,0.16430846728481235,0.10375171269233266,0.0,false,false,false,false,false,0,1,1,25,0,0,0,in_progress
mcts@2000,discrete online planning,1001,60,5.23327189316171,3.951522475785112,6.513460090213455,0.026863047346363342,0.08032550824703283,0.0930021436687979,0.10977529742915454,0.2833333333333333,false,false,false,false,false,0,0,0,0,0,0,0,in_progress
mcts@2000,discrete online planning,1002,60,4.569629433188145,3.4986894400394544,5.990686936427396,0.04632928839171484,0.06685802231169458,0.10010355479269557,0.10124853954292982,0.31666666666666665,false,false,false,false,false,0,0,0,0,0,0,0,in_progress
mcts@2000,discrete online planning,1003,60,16.954071472570202,11.982648684110973,6.819946625078699,0.058832301160166106,0.1311091229548899,0.3124051135978345,0.12023662792699301,0.21666666666666667,false,false,false,false,false,1,0,1,18,0,0,0,in_progress
mcts@2000,discrete online planning,1004,60,2.8873278790418295,2.1825255289026533,6.203542884585881,0.03820485572230942,0.0911755436505477,0.24092144335242258,0.10832687256664913,0.3333333333333333,false,false,false,false,false,0,0,0,0,1,7,1,in_progress
mcts@2000,discrete online planning,1005,60,4.023775551522345,3.0855662274040156,5.778873917778977,0.05813865324462474,0.11758235040364812,0.11603589554010284,0.09729113026590505,0.25,false,false,false,false,false,0,0,0,0,0,0,0,in_progress
dpw@2000,continuous online planning,1001,60,-46.3364676779161,-33.72526151264112,5.786726013661151,0.03439424851080052,0.07803345582009877,0.15713803743788982,0.09823960619718236,0.0,false,false,false,false,false,0,1,1,15,0,0,0,in_progress
dpw@2000,continuous online planning,1002,60,-2.608760309754103,-1.8104332091351711,4.6036912714993425,0.0587004361685527,0.09801892299896986,0.2422480708602052,0.07997166792083137,0.0,false,false,false,false,false,0,0,0,14,0,0,0,in_progress
dpw@2000,continuous online planning,1003,60,-41.6351851653352,-27.013163271113893,6.304608826942085,0.0497311298274361,0.08373544109366415,0.1504381941847698,0.10700546332870824,0.0,false,false,false,false,false,0,1,1,26,0,0,0,in_progress
dpw@2000,continuous online planning,1004,60,-4.2556250571479275,-5.901870582908516,4.668222078632817,0.11164292732473981,0.19834092935653955,0.37967496088915315,0.08519822947293165,0.0,false,false,false,false,false,1,0,0,18,0,0,0,in_progress
dpw@2000,continuous online planning,1005,60,-39.68793370657716,-22.044627311722987,5.262550026597102,0.018033989460002894,0.04430242488960387,0.1318574957067014,0.08872859976157813,0.0,false,false,false,false,false,0,1,1,27,0,0,0,in_progress
