decision,step_count,x,z,angle,speed,d,phi,v,tile,d_stop,sigma_stop,duck_threat,hold_steps,duck_x,duck_z,duck_vel,duck_active,crossings,action,wheel_l,wheel_r,r_progress,r_lateral,r_heading,r_time,r_pedestrian,r_stagnation,r_stop_approach,r_steering,r_events,r_total,cumulative_return,terminated,truncated,reason
1,6,0.5024414683906209,0.390097048802869,0.4604296696307755,0.031166666994492078,-0.030626158043509752,-0.1355492350005987,0.031166666994492078,0,,false,0,0,0.9477,0.8775,0.02,false,0,SLOW_STRAIGHT,0.17000000178813934,0.17000000178813934,0.03088078326277927,-0.0018759231130120741,-0.009186797554623767,-0.01,0.0,0.0,0.0,0.0,0.0,0.009818062595143428,0.009818062595143428,false,false,in_progress
2,12,0.5136828312500046,0.3845215124221375,0.4604296696307755,0.07827806080850441,-0.03301653454687127,-0.21372587883057384,0.07827806080850441,0,,false,1,0,0.9477,0.8775,0.02,false,0,SLOW_STRAIGHT,0.17000000178813934,0.17000000178813934,0.07649703387605039,-0.002180183106969488,-0.022839375640950565,-0.01,0.0,0.0,0.0,0.0,0.0,0.04147747512813033,0.05129553772327376,false,false,in_progress
3,18,0.5296026649208273,0.37662552926447446,0.4604296696307755,0.09405557127541138,-0.03742664976666354,-0.28523294929639237,0.09405557127541138,0,,false,1,0,0.9477,0.8775,0.02,false,0,SLOW_STRAIGHT,0.17000000178813934,0.17000000178813934,0.09025536231268791,-0.002801508225512992,-0.04067891768215917,-0.01,0.0,0.0,0.0,0.0,0.0,0.036774936405015744,0.0880704741282895,false,false,in_progress
4,24,0.5470983864468087,0.3679708407014741,0.45311966976746876,0.09933933382481826,-0.04352270080338826,-0.34293863903377053,0.09933933382481826,0,,false,1,0,0.9477,0.8775,0.02,false,0,SLOW_RIGHT,0.24650000035762787,0.09350000321865082,0.09355486383400818,-0.003788450970442507,-0.05880345507116738,-0.01,0.0,0.0,0.0,0.0,0.0,0.020962957792398297,0.10903343192068779,false,false,in_progress
5,30,0.5654014607135137,0.3596592283140412,0.392175314535959,0.10110826428295908,-0.0503406660359452,-0.3408856343982502,0.10110826428295908,0,,false,1,0,0.9477,0.8775,0.02,false,0,SLOW_RIGHT,0.24650000035762787,0.09350000321865082,0.0952903884107287,-0.005068365313885132,-0.05810150786954875,-0.01,0.0,0.0,0.0,0.0,0.0,0.022120515227294822,0.13115394714798262,false,false,in_progress
6,36,0.5844808855546643,0.35274377360231934,0.30022560727703096,0.10170044000425948,-0.05675646280934717,-0.2982686626127347,0.10170044000425948,0,,false,1,0,0.9477,0.8775,0.02,false,0,SLOW_RIGHT,0.24650000035762787,0.09350000321865082,0.09721003019324365,-0.006442592141257618,-0.04448209754839468,-0.01,0.0,0.0,0.0,0.0,0.0,0.03628534050359135,0.16743928765157395,false,false,in_progress
7,42,0.6042139334749413,0.34774017644118427,0.1951372959279752,0.10189868664329008,-0.06175982355881565,-0.1951372959279758,0.10189868664329008,0,,false,1,0,0.9477,0.8775,0.02,false,0,SLOW_RIGHT,0.24650000035762787,0.09350000321865082,0.09996475727230893,-0.007628551612032082,-0.0190392821310412,-0.01,0.0,0.0,0.0,0.0,0.0,0.06329692352923565,0.23073621118080961,false,false,in_progress
8,48,0.6243928205836117,0.34489477018241765,0.08448146458158265,0.1019650537859076,-0.06460522981758227,-0.084481464581583,0.1019650537859076,0,,false,1,0,0.9477,0.8775,0.02,false,0,SLOW_RIGHT,0.24650000035762787,0.09350000321865082,0.1016014018455494,-0.008347671439565241,-0.003568558928924631,-0.01,0.0,0.0,0.0,0.0,0.0,0.07968517147705953,0.3104213826578691,false,false,in_progress
9,54,0.6447706511981411,0.3442649041285337,-0.014548285764837311,0.10198815477388196,-0.06523509587146625,0.014548285764839014,0.10198815477388196,0,,false,1,0,0.9477,0.8775,0.02,false,0,SLOW_STRAIGHT,0.17000000178813934,0.17000000178813934,0.10197736193422813,-0.008511235466718788,-0.00010582630934770876,-0.01,0.0,0.0,0.0,0.0,0.0,0.08336030015816165,0.39378168281603076,false,false,in_progress
10,60,0.6694334434498466,0.3453239669770347,-0.060444667890689745,0.16266273003066622,-0.06417603302296526,0.06044466789068954,0.16266273003066622,0,,false,1,0,0.9477,0.8775,0.02,false,0,FAST_STRAIGHT,0.4099999964237213,0.4099999964237213,0.16236567164127405,-0.008237126429129455,-0.0018267789382078773,-0.01,0.0,0.0,0.0,0.0,0.0,0.1423017662739367,0.5360834490899675,false,false,in_progress
11,66,0.7092916519989194,0.3481945932841224,-0.07989338736942807,0.21809053268116382,-0.061305406715877586,0.07989338736942739,0.21809053268116382,0,,false,2,0,0.9477,0.8775,0.02,false,0,FAST_STRAIGHT,0.4099999964237213,0.4099999964237213,0.21739487198251908,-0.007516705785198337,-0.0031914766726806897,-0.01,0.0,0.0,0.0,0.0,0.0,0.19668668952464005,0.7327701386146076,false,false,in_progress
12,72,0.7552327473907499,0.3520918264023376,-0.08813483629944283,0.23665318059873638,-0.057408173597662315,0.08813483629944263,0.23665318059873638,0,,false,2,0,0.9477,0.8775,0.02,false,0,FAST_STRAIGHT,0.4099999964237213,0.4099999964237213,0.23573464411263945,-0.0065913967916386654,-0.003883874684764775,-0.01,0.0,0.0,0.0,0.0,0.0,0.21525937263623598,0.9480295112508436,false,false,in_progress
13,78,0.8009439113328582,0.3562202276853874,-0.09162717318775541,0.1988697702277215,-0.05327977231461256,0.09162717318775597,0.1988697702277215,0,,false,2,0,0.9477,0.8775,0.02,false,0,SLOW_STRAIGHT,0.17000000178813934,0.17000000178813934,0.1980355446779099,-0.00567746827579391,-0.004197769433189513,-0.01,0.0,0.0,0.0,0.0,0.0,0.17816030696892649,1.12618981821977,false,false,in_progress
14,84,0.8319490554667844,0.3590940448679605,-0.09310706064990426,0.13444149104050757,-0.05040595513203944,0.09310706064990469,0.13444149104050757,0,,false,2,0,0.9477,0.8775,0.02,false,0,SLOW_STRAIGHT,0.17000000178813934,0.17000000178813934,0.13385918030616037,-0.005081520625546346,-0.004334462371432516,-0.01,0.0,0.0,0.0,0.0,0.0,0.11444319730918151,1.2406330155289516,false,false,in_progress
15,90,0.8558404912821252,0.3613333542819761,-0.09373416707481835,0.11286459045245362,-0.04816664571802387,0.09373416707481856,0.11286459045245362,0,,false,2,0,0.9477,0.8775,0.02,false,0,SLOW_STRAIGHT,0.17000000178813934,0.17000000178813934,0.11236913391766495,-0.004640051519451255,-0.004393047038605,-0.01,0.0,0.0,0.0,0.0,0.0,0.0933360353596087,1.3339690508885602,false,false,in_progress
16,96,0.877349692182291,0.3633586781767677,-0.09399990516519822,0.10563853007751416,-0.04614132182323227,0.09399990516519807,0.10563853007751416,2,,false,2,0,0.9477,0.8775,0.02,false,0,SLOW_STRAIGHT,0.17000000178813934,0.17000000178813934,0.1051721635456402,-0.004258043159190181,-0.004417991085533116,-0.01,0.0,0.0,0.0,0.0,0.0,0.08649612930091691,1.4204651801894772,false,false,in_progress
17,102,0.898061058555258,0.3653126333230061,-0.09411251241952256,0.10321853707526028,-0.044187366676993856,0.094112512419522,0.10321853707526028,2,,false,2,0,0.9477,0.8775,0.02,false,0,SLOW_STRAIGHT,0.17000000178813934,0.17000000178813934,0.10276176256190253,-0.003905046747694214,-0.004428582496957341,-0.01,0.0,0.0,0.0,0.0,0.0,0.08442813331725099,1.5048933135067282,false,false,in_progress
18,108,0.9185052074006712,0.3672429434497808,-0.09416023005649489,0.10240808631470004,-0.04225705655021916,0.0941602300564947,0.10240808631470004,2,,false,2,0,0.9477,0.8775,0.02,false,0,SLOW_STRAIGHT,0.17000000178813934,0.17000000178813934,0.10195443896659144,-0.0035713176565768407,-0.004433074462146003,-0.01,0.0,0.0,0.0,0.0,0.0,0.08395004684786861,1.5888433603545968,false,false,in_progress
19,114,0.9388598535920861,0.36916546213362245,-0.09418045053777642,0.10213666799469927,-0.04033453786637753,0.09418045053777632,0.10213666799469927,2,,false,2,0,0.9477,0.8775,0.02,false,0,SLOW_STRAIGHT,0.17000000178813934,0.17000000178813934,0.10168402877726943,-0.0032537498897884853,-0.004434978631749266,-0.01,0.0,0.0,0.0,0.0,0.0,0.08399530025573168,1.6728386606103285,false,false,in_progress
20,120,0.9591845201780437,0.3710854280375835,-0.0941890190229152,0.10204577054848347,-0.03841457196241649,0.0941890190229157,0.10204577054848347,2,,false,0,0,0.9477,0.8775,0.02,false,0,SLOW_STRAIGHT,0.17000000178813934,0.17000000178813934,0.10159345193006877,-0.00295135867811135,-0.004435785652249587,-0.01,0.0,0.0,0.0,0.0,0.0,0.08420630759970785,1.7570449682100364,false,false,in_progress
21,126,0.979499144354166,0.3730045633642447,-0.09419264994230586,0.10201532917765734,-0.03649543663575533,0.09419264994230603,0.10201532917765734,2,,false,0,0,0.9477,0.8775,0.02,false,0,SLOW_STRAIGHT,0.17000000178813934,0.17000000178813934,0.10156311065323183,-0.0026638337904688644,-0.004436127651576902,-0.01,0.0,0.0,0.0,0.0,0.0,0.08446314921118607,1.8415081174212224,false,false,in_progress
22,132,0.999810404367878,0.37492343090046854,-0.09419418855448851,0.10200513442415787,-0.03457656909953144,0.09419418855448901,0.10200513442415787,2,,false,0,0,0.9477,0.8775,0.02,false,0,SLOW_STRAIGHT,0.17000000178813934,0.17000000178813934,0.10155294633007092,-0.0023910782613893447,-0.0044362725787193144,-0.01,0.0,0.0,0.0,0.0,0.0,0.08472559548996227,1.9262337129111846,false,false,in_progress
23,138,1.0201205373144187,0.37684221315710276,-0.09419484054567692,0.10200172022183832,-0.032657786842897274,0.09419484054567738,0.10200172022183832,2,,false,0,0,0.9477,0.8775,0.02,false,0,SLOW_STRAIGHT,0.17000000178813934,0.17000000178813934,0.10154954100781433,-0.0021330620829522287,-0.004436333992712794,-0.01,0.0,0.0,0.0,0.0,0.0,0.08498014493214931,2.011213857843334,false,false,in_progress
24,144,1.040430292632909,0.3787609687117346,-0.09419511682875498,0.10200057681239356,-0.030739031288265384,0.09419511682875482,0.10200057681239356,2,,false,0,0,0.9477,0.8775,0.02,false,0,SLOW_STRAIGHT,0.17000000178813934,0.17000000178813934,0.10154840001657817,-0.0018897760890819165,-0.004436360017191385,-0.01,0.0,0.0,0.0,0.0,0.0,0.08522226391030487,2.096436121753639,false,false,in_progress
