decision,step_count,x,z,angle,speed,d,phi,v,tile,d_stop,sigma_stop,duck_threat,hold_steps,duck_x,duck_z,duck_vel,duck_active,crossings,action,wheel_l,wheel_r,r_progress,r_lateral,r_heading,r_time,r_pedestrian,r_stagnation,r_stop_approach,r_steering,r_events,r_total,cumulative_return,terminated,truncated,reason
11,66,0.17513654031983308,0.8120466378407076,-1.4759048001439867,0.10199874315700656,0.00036345968016690544,-0.09489152665090939,0.10199874315700656,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.01897494048568238,0.1690322756767273,0.1709677278995514,0.10153986880139675,-2.642058782140584e-7,-0.0045022009150701234,-0.01,0.0,0.0,0.0,-8.001075432198523e-5,0.0,0.08695739292612642,-1.1508619527147477,false,false,in_progress
12,72,0.17709272323483272,0.8323524869700464,-1.473748380779374,0.10199957971018642,-0.0015927232348326992,-0.09704794601552248,0.10199957971018642,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.00869502142555309,0.16955655813217163,0.17044344544410706,0.10151962506828936,-5.073534605551875e-6,-0.004709151912915883,-0.01,0.0,0.0,0.0,-1.6800754425647413e-5,0.0,0.0867885988663423,-1.0640733538484053,false,false,in_progress
13,78,0.1790839671468954,0.8526550235592536,-1.4724388896729808,0.1019998599743204,-0.003583967146895406,-0.09835743712191614,0.1019998599743204,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.0004008399667670137,0.1700204461812973,0.16997955739498138,0.10150687482247277,-2.5689641020051192e-5,-0.004837092718595843,-0.01,0.0,0.0,0.0,-3.570503776935305e-8,0.0,0.08664405675781911,-0.9774292970905862,false,false,in_progress
14,84,0.18109393692311415,0.8729557472324998,-1.471890276870585,0.10199995384901096,-0.005593936923114162,-0.09890604992431157,0.10199995384901096,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.008364923214340791,0.170426607131958,0.16957339644432068,0.10150145790546673,-6.258426059955989e-5,-0.0048912033558152065,-0.01,0.0,0.0,0.0,-1.5549320397206182e-5,0.0,0.08653212096865476,-0.8908971761219315,false,false,in_progress
15,90,0.18310806188892853,0.8932560697696235,-1.4720162126050782,0.10199998524108297,-0.007608061888928541,-0.09878011418981789,0.10199998524108297,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.015262711430607062,0.17077839374542236,0.16922160983085632,0.10150275676085224,-0.00011576521141153384,-0.00487875547967673,-0.01,0.0,0.0,0.0,0.0,0.0,0.08650823606976399,-0.8043889400521675,false,false,in_progress
16,96,0.18511350191866,0.91355725519696,-1.472733092332199,0.10199999566960172,-0.009613501918660006,-0.09806323446269724,0.10199999566960172,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.021163966488605662,0.1710793673992157,0.168920636177063,0.10150995228804531,-0.00018483883828015923,-0.004808198976642966,-0.01,0.0,0.0,0.0,0.0,0.0,0.0865169144731222,-0.7178720255790454,false,false,in_progress
17,102,0.18709907200725492,0.933860393970893,-1.4739615235299623,0.10199999905721038,-0.011599072007254935,-0.09683480326493461,0.10199999905721038,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.02613933363423082,0.17133310437202454,0.16866689920425415,0.10152214670243606,-0.00026907694285897,-0.004688489561679296,-0.01,0.0,0.0,0.0,0.0,0.0,0.08656458019789781,-0.6313074453811476,false,false,in_progress
18,108,0.18905515779603535,0.9541663939081116,-1.4756233928320777,0.10200000008635318,-0.01355515779603536,-0.095172933962819,0.10200000008635318,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.02952051868723854,0.17150555551052094,0.16849444806575775,0.10153839641800964,-0.00036748460575083643,-0.004528943679545554,-0.01,0.0,0.0,0.0,0.0,0.0,0.08664196813271326,-0.5446654772484343,false,false,in_progress
19,114,0.19097390145518142,0.9744759554400237,-1.477630175970748,0.10200000032739184,-0.015473901455181432,-0.09316615082414914,0.10200000032739184,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.0335967373302548,0.1717134416103363,0.16828656196594238,0.10155764391887157,-0.0004788832524893321,-0.0043399658296940525,-0.01,0.0,0.0,0.0,0.0,0.0,0.08673879483668819,-0.4579266824117461,false,false,in_progress
20,120,0.19284861937733092,0.9947896270381406,-1.4799520394263515,0.10200000030147514,-0.017348619377330926,-0.0908442873685448,0.10200000030147514,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.036250084776770525,0.17184875905513763,0.16815124452114105,0.1015794027626051,-0.0006019491885990042,-0.004126342273749375,-0.01,0.0,0.0,0.0,0.0,0.0,0.08685111130025673,-0.37107557111148937,false,false,in_progress
21,126,0.19467347431923523,1.0151078376568665,-1.482528972196954,0.10200000020822876,-0.019173474319235245,-0.08826735459794265,0.10200000020822876,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.03823366932668115,0.17194992303848267,0.16805008053779602,0.10160291070213581,-0.0007352442349407469,-0.003895562943859473,-0.01,0.0,0.0,0.0,0.0,0.0,0.0869721035233356,-0.28410346758815375,false,false,in_progress
22,132,0.19644388228575307,1.0354308639486687,-1.4853021826039297,0.10200000011079532,-0.020943882285753085,-0.08549414419096753,0.10200000011079532,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.03961251703793896,0.17202024161815643,0.16797976195812225,0.10162745542858397,-0.0008772924103989637,-0.003654624345472973,-0.01,0.0,0.0,0.0,0.0,0.0,0.08709553867271203,-0.19700792891544172,false,false,in_progress
23,138,0.19815635851929078,1.055758852973775,-1.488225968633195,0.10200000001473666,-0.022656358519290792,-0.08257035816170222,0.10200000001473666,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.04166504716404319,0.1721249222755432,0.16787508130073547,0.10165248645729905,-0.0010266211627092809,-0.003408932023475892,-0.01,0.0,0.0,0.0,0.0,0.0,0.08721693327111388,-0.10979099564432784,false,false,in_progress
24,144,0.19980790361757533,1.0760918823051742,-1.4912889850021456,0.10199999993853012,-0.024307903617575344,-0.07950734179275118,0.10199999993853012,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.0413903217491956,0.172110915184021,0.1678890883922577,0.10167777744694731,-0.001181748356562665,-0.003160708699474679,-0.01,0.0,0.0,0.0,0.0,0.0,0.08733532039090997,-0.02245567525341788,false,false,in_progress
25,150,0.2013964310844885,1.0964299316312296,-1.4944149666464273,0.10199999990487144,-0.025896431084488497,-0.07638136014846943,0.10199999990487144,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.04177869415674662,0.17213071882724762,0.16786928474903107,0.1017026048126115,-0.0013412502858273243,-0.0029170560890650968,-0.01,0.0,0.0,0.0,0.0,0.0,0.08744429843771907,0.0649886231843012,false,false,in_progress
26,156,0.20292095090305487,1.1167728788232023,-1.4975813426708777,0.10199999987682624,-0.02742095090305488,-0.07321498412401865,0.10199999987682624,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.04221907500371727,0.17215317487716675,0.16784682869911194,0.10172673984699268,-0.0015038170968554926,-0.002680216950140152,-0.01,0.0,0.0,0.0,0.0,0.0,0.08754270579999705,0.15253132898429825,false,false,in_progress
27,162,0.20438069062740918,1.137120576819783,-1.5007793900194004,0.10199999986365466,-0.028880690627409195,-0.0700169367754965,0.10199999986365466,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.04172178773334384,0.17212781310081482,0.16787219047546387,0.1017500810453866,-0.0016681885822322426,-0.0024511857177119374,-0.01,0.0,0.0,0.0,0.0,0.0,0.08763070674544242,0.24016203572974065,false,false,in_progress
28,168,0.20577532943719834,1.1574728405002703,-1.5039761863340626,0.1019999998684834,-0.03027532943719835,-0.06682014046083347,0.1019999998684834,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.04165035553739563,0.17212417721748352,0.16787582635879517,0.10177237309278056,-0.001833191145061778,-0.002232465585602757,-0.01,0.0,0.0,0.0,0.0,0.0,0.08770671636211602,0.3278687520918567,false,false,in_progress
29,174,0.20710497344350978,1.1778294537527396,-1.5071627427939887,0.10199999988525672,-0.031575919197597196,-0.05570946480317691,0.10199999988525672,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.0407140775828215,0.17207641899585724,0.16792358458042145,0.10184176004924875,-0.0019940773463463742,-0.0015517722343282034,-0.01,0.0,0.0,0.0,0.0,0.0,0.08829591046857417,0.41616466256043083,false,false,in_progress
30,180,0.20837027835521446,1.1981901678128262,-1.5102521216231075,0.102000000079409,-0.03247879294500331,-0.032663428564280055,0.102000000079409,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.028218416990444146,0.17143914103507996,0.16856086254119873,0.10194559303901773,-0.0021097439823287937,-0.0005334497827869131,-0.01,0.0,0.0,0.0,0.0,0.0,0.08930239927390203,0.5054670618343329,false,false,in_progress
31,186,0.20957772811159792,1.2185543975878994,-1.512718741945199,0.10200000066181882,-0.03287274260456613,-0.005145815181353012,0.10200000066181882,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.003673194680348324,0.1698126643896103,0.1701873391866684,0.10199865021468206,-0.002161234412692114,-1.3239706940321567e-5,-0.01,0.0,0.0,0.0,0.0,0.0,0.08982417609504963,0.5952912379293825,false,false,in_progress
32,192,0.21074974410067993,1.2389207020169466,-1.5135832215592475,0.10200000107081035,-0.03272808607930425,0.01880704003737095,0.10200000107081035,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.043650145754017024,0.16777384281158447,0.1722261607646942,0.10198196265981636,-0.002142255236828697,-0.00017685237748363695,-0.01,0.0,0.0,0.0,0.0,0.0,0.08966285504550404,0.6849540929748866,false,false,in_progress
33,198,0.21192758142154042,1.2592866694332696,-1.5120689548724824,0.10200000023016874,-0.032025736502227335,0.04624029554214105,0.10200000023016874,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.07996507642698689,0.16592177748680115,0.17407822608947754,0.10189097324694932,-0.0020512955970201927,-0.0010690824659122745,-0.01,0.0,0.0,0.0,0.0,0.0,0.08877059518401685,0.7737246881589035,false,false,in_progress
34,204,0.21316291312332386,1.279649217607651,-1.5078919294762907,0.10199999752725913,-0.030749478044140605,0.07797154594453104,0.10199999752725913,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.12319121267592956,0.16371725499629974,0.17628274857997894,0.10169009692667966,-0.0018910607999741702,-0.0030397809884900573,-0.01,0.0,0.0,0.0,0.0,0.0,0.08675925513821543,0.860483943297119,false,false,in_progress
35,210,0.21451346506653654,1.3000044192764573,-1.500676686321438,0.10199999205099156,-0.028884263042553072,0.10480168117286669,0.10199999205099156,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.17513362999461846,0.16106818616390228,0.1789318174123764,0.1014403515940862,-0.0016686013030227946,-0.0054916961883296,-0.01,0.0,0.0,0.0,0.0,0.0,0.0842800541027338,0.9447639973998527,false,false,in_progress
36,216,0.21604603211617734,1.3203466730980618,-1.489963107055962,0.10199998323118871,-0.026410104661995792,0.13616518268912148,0.10199998323118871,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.22075760136376965,0.15874136984348297,0.18125863373279572,0.10105585468805062,-0.0013949872565151436,-0.009270478488380914,-0.01,0.0,0.0,0.0,0.0,0.0,0.08039038894315456,1.0251543863430073,false,false,in_progress
37,222,0.2178324769387883,1.340668129573676,-1.4756760190114535,0.10199997090566193,-0.02347970516637015,0.19782478060003283,0.10199997090566193,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.2756108465931708,0.1559438556432724,0.1840561479330063,0.10001060511485639,-0.0011025931093993383,-0.019567321909725564,-0.01,0.0,0.0,0.0,0.0,0.0,0.0693406900957315,1.0944950764387387,false,false,in_progress
