decision,step_count,x,z,angle,speed,d,phi,v,tile,d_stop,sigma_stop,duck_threat,hold_steps,duck_x,duck_z,duck_vel,duck_active,crossings,action,wheel_l,wheel_r,r_progress,r_lateral,r_heading,r_time,r_pedestrian,r_stagnation,r_stop_approach,r_steering,r_events,r_total,cumulative_return,terminated,truncated,reason
13,78,0.19102243764971014,1.0316263766607092,-1.4798615550834389,0.1799997582718377,-0.015522437649710147,-0.09093477171145747,0.1799997582718377,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=-0.023137598991542205,0.30118003487586975,0.29881998896598816,0.17925605002486186,-0.00048189214117827815,-0.004134566353107444,-0.01,0.0,0.0,0.0,0.0,0.0,0.16463959153057614,1.9566145487318973,false,false,in_progress
14,84,0.19427445291419704,1.067479164354174,-1.4809575318058763,0.17999992336291237,-0.01877445291419705,-0.08983879498902031,0.17999992336291237,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=-0.03468733761354337,0.30176907777786255,0.29823094606399536,0.17927402128180414,-0.0007049601644548041,-0.00403550454253961,-0.01,0.0,0.0,0.0,0.0,0.0,0.1645335565748097,2.121148105306707,false,false,in_progress
15,90,0.19747133943183884,1.1033369241851367,-1.4829159328047528,0.1799999781700571,-0.02197133943183885,-0.08788039399014358,0.1799999781700571,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=-0.0405534383770538,0.30206823348999023,0.2979317903518677,0.17930535874210587,-0.0009654795128581533,-0.0038614818239314317,-0.01,0.0,0.0,0.0,0.0,0.0,0.16447839740531628,2.2856265027120233,false,false,in_progress
16,96,0.2005857060001176,1.1392019470173116,-1.4855352702921962,0.17999999607360836,-0.025085706000117614,-0.08526105650270045,0.17999999607360836,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=-0.04755452411680139,0.3024252951145172,0.2975747287273407,0.17934614203033925,-0.0012585852910486737,-0.0036347238779783396,-0.01,0.0,0.0,0.0,0.0,0.0,0.16445283286131224,2.4500793355733355,false,false,in_progress
17,102,0.2035955932428444,1.1750758861260477,-1.4887298246143785,0.18000000158065949,-0.028083442290696536,-0.07733896264703635,0.18000000158065949,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=-0.05307329695337344,0.3027067482471466,0.2972932755947113,0.17946195148052582,-0.0015773594617897655,-0.002990657571659842,-0.01,0.0,0.0,0.0,0.0,0.0,0.1648939344470762,2.614973270020412,false,false,in_progress
18,108,0.20648201158477272,1.2109599664794968,-1.4923776562036664,0.18000000320323625,-0.03013860115979622,-0.03646427486508575,0.18000000320323625,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=-0.04998720414387506,0.3025493621826172,0.2974506616592407,0.17988034855942556,-0.00181667055973854,-0.0006648216707182622,-0.01,0.0,0.0,0.0,0.0,0.0,0.16739885632896873,2.7823721263493804,false,false,in_progress
19,114,0.209236101451056,1.2468544464529154,-1.4958759989620574,0.18000000524014909,-0.03055891838563276,0.013233218463747368,0.18000000524014909,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=0.005016393956689513,0.299744188785553,0.30025583505630493,0.17998424484330464,-0.0018676949857995278,-8.755903545463213e-5,-0.01,0.0,0.0,0.0,0.0,0.0,0.16802899082205047,2.950401117171431,false,false,in_progress
20,120,0.2118996264434883,1.2827557769721472,-1.4970843444585082,0.18000000699209184,-0.0290582436891025,0.0718740891945682,0.18000000699209184,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=0.07816769590097579,0.2960134446620941,0.3039865791797638,0.17953527746453388,-0.0016887630525905307,-0.0025829423487743726,-0.01,0.0,0.0,0.0,0.0,0.0,0.16526357206316897,3.1156646892346,false,false,in_progress
21,126,0.214590060233971,1.3186550908193553,-1.4941019851302513,0.18000000102700434,-0.025350592334637767,0.13485432219609025,0.18000000102700434,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=0.1709605728993636,0.2912810146808624,0.3087190091609955,0.1783657679696508,-0.0012853050634339903,-0.00909284410748346,-0.01,0.0,0.0,0.0,0.0,0.0,0.15798761879873335,3.2736523080333333,false,false,in_progress
22,132,0.21748786891761285,1.3545381590887207,-1.4852992918668122,0.17999997794840544,-0.019142505328090063,0.21368824376731346,0.17999997794840544,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=0.27654210261758005,0.285896360874176,0.3141036629676819,0.17590595286227084,-0.0007328710204719129,-0.022831332762179392,-0.01,0.0,0.0,0.0,0.0,0.0,0.14234174907961952,3.415994057112953,false,false,in_progress
