decision,step_count,x,z,angle,speed,d,phi,v,tile,d_stop,sigma_stop,duck_threat,hold_steps,duck_x,duck_z,duck_vel,duck_active,crossings,action,wheel_l,wheel_r,r_progress,r_lateral,r_heading,r_time,r_pedestrian,r_stagnation,r_stop_approach,r_steering,r_events,r_total,cumulative_return,terminated,truncated,reason
11,66,0.17218291743102726,0.8122428607605249,-1.4973726252925859,0.10199874268812009,0.003317082568972729,-0.07342370150231112,0.10199874268812009,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.03565656231063871,0.16818152368068695,0.17181847989559174,0.1017239265355299,-2.200607353876544e-5,-0.0026955199711502418,-0.01,0.0,0.0,0.0,-0.00028253123374238296,0.0,0.08872386925709852,-1.1252429782368298,false,false,in_progress
12,72,0.1737113796064435,0.8325853728534373,-1.494300549022879,0.10199957910658004,0.0017886203935565115,-0.07649577777201844,0.10199957910658004,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.02987454437899087,0.168476402759552,0.17152360081672668,0.10170129402957964,-6.3983258244925e-6,-0.0029258020084730147,-0.01,0.0,0.0,0.0,-0.00019833075877831452,0.0,0.08857076293650382,-1.036672215300326,false,false,in_progress
13,78,0.1752977573100114,0.8529235456026649,-1.4916767537172029,0.1019998593868249,0.0002022426899885854,-0.07911957307769342,0.1019998593868249,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.024361281052949733,0.1687575727701187,0.17124243080615997,0.10168077108526,-8.180421130763812e-8,-0.0031299534219982345,-0.01,0.0,0.0,0.0,-0.00013188266634073936,0.0,0.08841885319270973,-0.9482533621076163,false,false,in_progress
14,84,0.17693306413930313,0.8732578755757137,-1.4894860575064743,0.10199995338184188,-0.0014330641393031363,-0.08131026928842218,0.10199995338184188,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.019131268375732185,0.1690243035554886,0.1709757000207901,0.10166295990828611,-4.107345654713277e-6,-0.0033056799458778654,-0.01,0.0,0.0,0.0,-8.133454783479377e-5,0.0,0.08827183806891874,-0.8599815240386977,false,false,in_progress
15,90,0.17860867149185777,0.8935889361764048,-1.4877095824759978,0.10199998495835688,-0.003108671491857784,-0.08308674431889822,0.10199998495835688,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.014193335018252028,0.1692761480808258,0.17072385549545288,0.10164811374486177,-1.93276768885786e-5,-0.0034517035407569826,-0.01,0.0,0.0,0.0,0.0,0.0,0.08817708252721622,-0.7718044415114814,false,false,in_progress
16,96,0.18031636149359584,0.913917331717993,-1.4863264788536306,0.1019999956029941,-0.00481636149359585,-0.08446984794126543,0.1019999956029941,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.009553532228044935,0.1695127785205841,0.17048722505569458,0.1016363190208143,-4.639467607398569e-5,-0.0035675776056102518,-0.01,0.0,0.0,0.0,0.0,0.0,0.08802234673913008,-0.6837820947723513,false,false,in_progress
17,102,0.18204835593862603,0.9342436728600355,-1.4853147749925555,0.10199999921340527,-0.006548355938626044,-0.08548155180234161,0.10199999921340527,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.005216173984980887,0.16973397135734558,0.1702660322189331,0.10162756420338971,-8.576193099787795e-5,-0.003653547849268206,-0.01,0.0,0.0,0.0,0.0,0.0,0.08788825442312363,-0.5958938403492277,false,false,in_progress
18,108,0.18379733299745887,0.9545685606708763,-1.4846518293271187,0.10200000044765106,-0.008297332997458884,-0.08614449746777747,0.10200000044765106,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.0011841732062306209,0.16993960738182068,0.170060396194458,0.10162176983631652,-0.00013769146974144006,-0.0037104372219879593,-0.01,0.0,0.0,0.0,0.0,0.0,0.08777364114458713,-0.5081201992046405,false,false,in_progress
19,114,0.18555643695757526,0.9748925749214422,-1.4843146035079438,0.10200000086927714,-0.010056436957575271,-0.08648172328695249,0.10200000086927714,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.002540915604770055,0.17012958228588104,0.16987042129039764,0.10161880502642054,-0.00020226384856337156,-0.00373954423134051,-0.01,0.0,0.0,0.0,0.0,0.0,0.08767699694651666,-0.4204432022581238,false,false,in_progress
20,120,0.1873192839811911,0.9952162649931987,-1.4842798106652828,0.10200000100525546,-0.011819283981191114,-0.08651651612961321,0.10200000100525546,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.005958958286747134,0.17030391097068787,0.16969609260559082,0.10161849857041946,-0.0002793909476560818,-0.0037425537816028116,-0.01,0.0,0.0,0.0,0.0,0.0,0.08759655384116058,-0.3328466484169632,false,false,in_progress
